date,output,total_income_support
2021-04-26,[location_key=US_CA],1.0
2021-04-26,[location_key=US_CA],1.0
2021-04-26,[location_key=US_CA],1.0
2021-04-26,[location_key=US_CA],1.0
2021-04-26,[location_key=US_CA],1.0
2021-04-26,[location_key=US_CA],1.0
2021-04-26,"[location_key=US_CO,school_closing=2]",1.0
2021-04-26,"[location_key=US_CO,school_closing=2]",1.0
2021-04-26,"[location_key=US_CO,school_closing=2]",1.0
2021-04-26,"[location_key=US_CO,school_closing=2]",1.0
2021-04-26,"[location_key=US_CO,school_closing=2]",1.0
2021-04-26,"[location_key=US_CO,school_closing=2]",1.0
2021-04-26,"[location_key=US_CO,school_closing=2]",1.0
2021-04-26,[location_key=US_CO],1.0
2021-04-26,[location_key=US_CO],1.0
2021-04-26,[location_key=US_CO],1.0
2021-04-26,[location_key=US_CO],1.0
2021-04-26,[location_key=US_CO],1.0
2021-04-26,[location_key=US_CO],1.0
2021-04-26,[location_key=US_CO],1.0
2021-04-26,"[location_key=US_CT,school_closing=2]",1.0
2021-04-26,"[location_key=US_CT,school_closing=2]",1.0
2021-04-26,"[location_key=US_CT,school_closing=2]",1.0
2021-04-26,"[location_key=US_CT,school_closing=2]",1.0
2021-04-26,"[location_key=US_CT,school_closing=2]",1.0
2021-04-26,"[location_key=US_CT,school_closing=2]",1.0
2021-04-26,"[location_key=US_CT,school_closing=2]",1.0
2021-04-26,[location_key=US_CT],1.0
2021-04-26,[location_key=US_CT],1.0
2021-04-26,[location_key=US_CT],1.0
2021-04-26,[location_key=US_CT],1.0
2021-04-26,[location_key=US_CT],1.0
2021-04-26,[location_key=US_CT],1.0
2021-04-26,[location_key=US_CT],1.0
2021-04-26,"[location_key=US_DC,school_closing=1]",1.0
2021-04-26,"[location_key=US_DC,school_closing=1]",1.0
2021-04-26,"[location_key=US_DC,school_closing=1]",1.0
2021-04-26,"[location_key=US_DC,school_closing=1]",1.0
2021-04-26,"[location_key=US_DC,school_closing=1]",1.0
2021-04-26,"[location_key=US_DC,school_closing=1]",1.0
2021-04-26,"[location_key=US_DC,school_closing=1]",1.0
2021-04-26,[location_key=US_DC],1.0
2021-04-26,[location_key=US_DC],1.0
2021-04-26,[location_key=US_DC],1.0
2021-04-26,[location_key=US_DC],1.0
2021-04-26,[location_key=US_DC],1.0
2021-04-26,[location_key=US_DC],1.0
2021-04-26,[location_key=US_DC],1.0
2021-04-26,"[location_key=US_DE,school_closing=2]",1.0
2021-04-26,"[location_key=US_DE,school_closing=2]",1.0
2021-04-26,"[location_key=US_DE,school_closing=2]",1.0
2021-04-26,"[location_key=US_DE,school_closing=2]",1.0
2021-04-26,"[location_key=US_DE,school_closing=2]",1.0
2021-04-26,"[location_key=US_DE,school_closing=2]",1.0
2021-04-26,"[location_key=US_DE,school_closing=2]",1.0
2021-04-26,[location_key=US_DE],1.0
2021-04-26,[location_key=US_DE],1.0
2021-04-26,[location_key=US_DE],1.0
2021-04-26,[location_key=US_DE],1.0
2021-04-26,[location_key=US_DE],1.0
2021-04-26,[location_key=US_DE],1.0
2021-04-26,[location_key=US_DE],1.0
2021-04-26,"[location_key=US_FL,school_closing=1]",1.0
2021-04-26,"[location_key=US_FL,school_closing=1]",1.0
2021-04-26,"[location_key=US_FL,school_closing=1]",1.0
2021-04-26,"[location_key=US_FL,school_closing=1]",1.0
2021-04-26,"[location_key=US_FL,school_closing=1]",1.0
2021-04-26,"[location_key=US_FL,school_closing=1]",1.0
2021-04-26,"[location_key=US_FL,school_closing=1]",1.0
2021-04-26,[location_key=US_FL],1.0
2021-04-26,[location_key=US_FL],1.0
2021-04-26,[location_key=US_FL],1.0
2021-04-26,[location_key=US_FL],1.0
2021-04-26,[location_key=US_FL],1.0
2021-04-26,[location_key=US_FL],1.0
2021-04-26,[location_key=US_FL],1.0
2021-04-26,"[location_key=US_GA,school_closing=1]",1.0
2021-04-26,"[location_key=US_GA,school_closing=1]",1.0
2021-04-26,"[location_key=US_GA,school_closing=1]",1.0
2021-04-26,"[location_key=US_GA,school_closing=1]",1.0
2021-04-26,"[location_key=US_GA,school_closing=1]",1.0
2021-04-26,"[location_key=US_GA,school_closing=1]",1.0
2021-04-26,"[location_key=US_GA,school_closing=1]",1.0
2021-04-26,[location_key=US_GA],1.0
2021-04-26,[location_key=US_GA],1.0
2021-04-26,[location_key=US_GA],1.0
2021-04-26,[location_key=US_GA],1.0
2021-04-26,[location_key=US_GA],1.0
2021-04-26,[location_key=US_GA],1.0
2021-04-26,[location_key=US_GA],1.0
2021-04-26,"[location_key=US_HI,school_closing=2]",1.0
2021-04-26,"[location_key=US_HI,school_closing=2]",1.0
2021-04-26,"[location_key=US_HI,school_closing=2]",1.0
2021-04-26,"[location_key=US_HI,school_closing=2]",1.0
2021-04-26,"[location_key=US_HI,school_closing=2]",1.0
2021-04-26,"[location_key=US_HI,school_closing=2]",1.0
2021-04-26,"[location_key=US_HI,school_closing=2]",1.0
2021-04-26,[location_key=US_HI],1.0
2021-04-26,[location_key=US_HI],1.0
2021-04-26,[location_key=US_HI],1.0
2021-04-26,[location_key=US_HI],1.0
2021-04-26,[location_key=US_HI],1.0
2021-04-26,[location_key=US_HI],1.0
2021-04-26,[location_key=US_HI],1.0
2021-04-26,"[location_key=US_IA,school_closing=1]",1.0
2021-04-26,"[location_key=US_IA,school_closing=1]",1.0
2021-04-26,"[location_key=US_IA,school_closing=1]",1.0
2021-04-26,"[location_key=US_IA,school_closing=1]",1.0
2021-04-26,"[location_key=US_IA,school_closing=1]",1.0
2021-04-26,"[location_key=US_IA,school_closing=1]",1.0
2021-04-26,"[location_key=US_IA,school_closing=1]",1.0
2021-04-26,[location_key=US_IA],1.0
2021-04-26,[location_key=US_IA],1.0
2021-04-26,[location_key=US_IA],1.0
2021-04-26,[location_key=US_IA],1.0
2021-04-26,[location_key=US_IA],1.0
2021-04-26,[location_key=US_IA],1.0
2021-04-26,[location_key=US_IA],1.0
2021-04-26,"[location_key=US_ID,school_closing=1]",1.0
2021-04-26,"[location_key=US_ID,school_closing=1]",1.0
2021-04-26,"[location_key=US_ID,school_closing=1]",1.0
2021-04-26,"[location_key=US_ID,school_closing=1]",1.0
2021-04-26,"[location_key=US_ID,school_closing=1]",1.0
2021-04-26,"[location_key=US_ID,school_closing=1]",1.0
2021-04-26,"[location_key=US_ID,school_closing=1]",1.0
2021-04-26,[location_key=US_ID],1.0
2021-04-26,[location_key=US_ID],1.0
2021-04-26,[location_key=US_ID],1.0
2021-04-26,[location_key=US_ID],1.0
2021-04-26,[location_key=US_ID],1.0
2021-04-26,[location_key=US_ID],1.0
2021-04-26,[location_key=US_ID],1.0
2021-04-26,"[location_key=US_IL,school_closing=1]",1.0
2021-04-26,"[location_key=US_IL,school_closing=1]",1.0
2021-04-26,"[location_key=US_IL,school_closing=1]",1.0
2021-04-26,"[location_key=US_IL,school_closing=1]",1.0
2021-04-26,"[location_key=US_IL,school_closing=1]",1.0
2021-04-26,"[location_key=US_IL,school_closing=1]",1.0
2021-04-26,"[location_key=US_IL,school_closing=1]",1.0
2021-04-26,[location_key=US_IL],1.0
2021-04-26,[location_key=US_IL],1.0
2021-04-26,[location_key=US_IL],1.0
2021-04-26,[location_key=US_IL],1.0
2021-04-26,[location_key=US_IL],1.0
2021-04-26,[location_key=US_IL],1.0
2021-04-26,[location_key=US_IL],1.0
2021-04-26,"[location_key=US_IN,school_closing=2]",1.0
2021-04-26,"[location_key=US_IN,school_closing=2]",1.0
2021-04-26,"[location_key=US_IN,school_closing=2]",1.0
2021-04-26,"[location_key=US_IN,school_closing=2]",1.0
2021-04-26,"[location_key=US_IN,school_closing=2]",1.0
2021-04-26,"[location_key=US_IN,school_closing=2]",1.0
2021-04-26,"[location_key=US_IN,school_closing=2]",1.0
2021-04-26,[location_key=US_IN],1.0
2021-04-26,[location_key=US_IN],1.0
2021-04-26,[location_key=US_IN],1.0
2021-04-26,[location_key=US_IN],1.0
2021-04-26,[location_key=US_IN],1.0
2021-04-26,[location_key=US_IN],1.0
2021-04-26,[location_key=US_IN],1.0
2021-04-26,"[location_key=US_KS,school_closing=0]",1.0
2021-04-26,"[location_key=US_KS,school_closing=0]",1.0
2021-04-26,"[location_key=US_KS,school_closing=0]",1.0
2021-04-26,"[location_key=US_KS,school_closing=0]",1.0
2021-04-26,"[location_key=US_KS,school_closing=0]",1.0
2021-04-26,"[location_key=US_KS,school_closing=0]",1.0
2021-04-26,"[location_key=US_KS,school_closing=0]",1.0
2021-04-26,[location_key=US_KS],1.0
2021-04-26,[location_key=US_KS],1.0
2021-04-26,[location_key=US_KS],1.0
2021-04-26,[location_key=US_KS],1.0
2021-04-26,[location_key=US_KS],1.0
2021-04-26,[location_key=US_KS],1.0
2021-04-26,[location_key=US_KS],1.0
2021-04-26,"[location_key=US_KY,school_closing=1]",1.0
2021-04-26,"[location_key=US_KY,school_closing=1]",1.0
2021-04-26,"[location_key=US_KY,school_closing=1]",1.0
2021-04-26,"[location_key=US_KY,school_closing=1]",1.0
2021-04-26,"[location_key=US_KY,school_closing=1]",1.0
2021-04-26,"[location_key=US_KY,school_closing=1]",1.0
2021-04-26,"[location_key=US_KY,school_closing=1]",1.0
2021-04-26,[location_key=US_KY],1.0
2021-04-26,[location_key=US_KY],1.0
2021-04-26,[location_key=US_KY],1.0
2021-04-26,[location_key=US_KY],1.0
2021-04-26,[location_key=US_KY],1.0
2021-04-26,[location_key=US_KY],1.0
2021-04-26,[location_key=US_KY],1.0
2021-04-26,"[location_key=US_LA,school_closing=2]",1.0
2021-04-26,"[location_key=US_LA,school_closing=2]",1.0
2021-04-26,"[location_key=US_LA,school_closing=2]",1.0
2021-04-26,"[location_key=US_LA,school_closing=2]",1.0
2021-04-26,"[location_key=US_LA,school_closing=2]",1.0
2021-04-26,"[location_key=US_LA,school_closing=2]",1.0
2021-04-26,"[location_key=US_LA,school_closing=2]",1.0
2021-04-26,[location_key=US_LA],1.0
2021-04-26,[location_key=US_LA],1.0
2021-04-26,[location_key=US_LA],1.0
2021-04-26,[location_key=US_LA],1.0
2021-04-26,[location_key=US_LA],1.0
2021-04-26,[location_key=US_LA],1.0
2021-04-26,[location_key=US_LA],1.0
2021-04-26,"[location_key=US_MA,school_closing=2]",1.0
2021-04-26,"[location_key=US_MA,school_closing=2]",1.0
2021-04-26,"[location_key=US_MA,school_closing=2]",1.0
2021-04-26,"[location_key=US_MA,school_closing=2]",1.0
2021-04-26,"[location_key=US_MA,school_closing=2]",1.0
2021-04-26,"[location_key=US_MA,school_closing=2]",1.0
2021-04-26,"[location_key=US_MA,school_closing=2]",1.0
2021-04-26,[location_key=US_MA],1.0
2021-04-26,[location_key=US_MA],1.0
2021-04-26,[location_key=US_MA],1.0
2021-04-26,[location_key=US_MA],1.0
2021-04-26,[location_key=US_MA],1.0
2021-04-26,[location_key=US_MA],1.0
2021-04-26,[location_key=US_MA],1.0
2021-04-26,"[location_key=US_MD,school_closing=2]",1.0
2021-04-26,"[location_key=US_MD,school_closing=2]",1.0
2021-04-26,"[location_key=US_MD,school_closing=2]",1.0
2021-04-26,"[location_key=US_MD,school_closing=2]",1.0
2021-04-26,"[location_key=US_MD,school_closing=2]",1.0
2021-04-26,"[location_key=US_MD,school_closing=2]",1.0
2021-04-26,"[location_key=US_MD,school_closing=2]",1.0
2021-04-26,[location_key=US_MD],1.0
2021-04-26,[location_key=US_MD],1.0
2021-04-26,[location_key=US_MD],1.0
2021-04-26,[location_key=US_MD],1.0
2021-04-26,[location_key=US_MD],1.0
2021-04-26,[location_key=US_MD],1.0
2021-04-26,[location_key=US_MD],1.0
2021-04-26,"[location_key=US_ME,school_closing=1]",1.0
2021-04-26,"[location_key=US_ME,school_closing=1]",1.0
2021-04-26,"[location_key=US_ME,school_closing=1]",1.0
2021-04-26,"[location_key=US_ME,school_closing=1]",1.0
2021-04-26,"[location_key=US_ME,school_closing=1]",1.0
2021-04-26,"[location_key=US_ME,school_closing=1]",1.0
2021-04-26,"[location_key=US_ME,school_closing=1]",1.0
2021-04-26,[location_key=US_ME],1.0
2021-04-26,[location_key=US_ME],1.0
2021-04-26,[location_key=US_ME],1.0
2021-04-26,[location_key=US_ME],1.0
2021-04-26,[location_key=US_ME],1.0
2021-04-26,[location_key=US_ME],1.0
2021-04-26,[location_key=US_ME],1.0
2021-04-26,"[location_key=US_MI,school_closing=2]",1.0
2021-04-26,"[location_key=US_MI,school_closing=2]",1.0
2021-04-26,"[location_key=US_MI,school_closing=2]",1.0
2021-04-26,"[location_key=US_MI,school_closing=2]",1.0
2021-04-26,"[location_key=US_MI,school_closing=2]",1.0
2021-04-26,"[location_key=US_MI,school_closing=2]",1.0
2021-04-26,"[location_key=US_MI,school_closing=2]",1.0
2021-04-26,[location_key=US_MI],1.0
2021-04-26,[location_key=US_MI],1.0
2021-04-26,[location_key=US_MI],1.0
2021-04-26,[location_key=US_MI],1.0
2021-04-26,[location_key=US_MI],1.0
2021-04-26,[location_key=US_MI],1.0
2021-04-26,[location_key=US_MI],1.0
2021-04-26,"[location_key=US_MN,school_closing=2]",1.0
2021-04-26,"[location_key=US_MN,school_closing=2]",1.0
2021-04-26,"[location_key=US_MN,school_closing=2]",1.0
2021-04-26,"[location_key=US_MN,school_closing=2]",1.0
2021-04-26,"[location_key=US_MN,school_closing=2]",1.0
2021-04-26,"[location_key=US_MN,school_closing=2]",1.0
2021-04-26,"[location_key=US_MN,school_closing=2]",1.0
2021-04-26,[location_key=US_MN],1.0
2021-04-26,[location_key=US_MN],1.0
2021-04-26,[location_key=US_MN],1.0
2021-04-26,[location_key=US_MN],1.0
2021-04-26,[location_key=US_MN],1.0
2021-04-26,[location_key=US_MN],1.0
2021-04-26,[location_key=US_MN],1.0
2021-04-26,"[location_key=US_MO,school_closing=1]",1.0
2021-04-26,"[location_key=US_MO,school_closing=1]",1.0
2021-04-26,"[location_key=US_MO,school_closing=1]",1.0
2021-04-26,"[location_key=US_MO,school_closing=1]",1.0
2021-04-26,"[location_key=US_MO,school_closing=1]",1.0
2021-04-26,"[location_key=US_MO,school_closing=1]",1.0
2021-04-26,"[location_key=US_MO,school_closing=1]",1.0
2021-04-26,[location_key=US_MO],1.0
2021-04-26,[location_key=US_MO],1.0
2021-04-26,[location_key=US_MO],1.0
2021-04-26,[location_key=US_MO],1.0
2021-04-26,[location_key=US_MO],1.0
2021-04-26,[location_key=US_MO],1.0
2021-04-26,[location_key=US_MO],1.0
2021-04-26,"[location_key=US_MS,school_closing=2]",1.0
2021-04-26,"[location_key=US_MS,school_closing=2]",1.0
2021-04-26,"[location_key=US_MS,school_closing=2]",1.0
2021-04-26,"[location_key=US_MS,school_closing=2]",1.0
2021-04-26,"[location_key=US_MS,school_closing=2]",1.0
2021-04-26,"[location_key=US_MS,school_closing=2]",1.0
2021-04-26,"[location_key=US_MS,school_closing=2]",1.0
2021-04-26,[location_key=US_MS],1.0
2021-04-26,[location_key=US_MS],1.0
2021-04-26,[location_key=US_MS],1.0
2021-04-26,[location_key=US_MS],1.0
2021-04-26,[location_key=US_MS],1.0
2021-04-26,[location_key=US_MS],1.0
2021-04-26,[location_key=US_MS],1.0
2021-04-26,"[location_key=US_MT,school_closing=1]",1.0
2021-04-26,"[location_key=US_MT,school_closing=1]",1.0
2021-04-26,"[location_key=US_MT,school_closing=1]",1.0
2021-04-26,"[location_key=US_MT,school_closing=1]",1.0
2021-04-26,"[location_key=US_MT,school_closing=1]",1.0
2021-04-26,"[location_key=US_MT,school_closing=1]",1.0
2021-04-26,"[location_key=US_MT,school_closing=1]",1.0
2021-04-26,[location_key=US_MT],1.0
2021-04-26,[location_key=US_MT],1.0
2021-04-26,[location_key=US_MT],1.0
2021-04-26,[location_key=US_MT],1.0
2021-04-26,[location_key=US_MT],1.0
2021-04-26,[location_key=US_MT],1.0
2021-04-26,[location_key=US_MT],1.0
2021-04-26,"[location_key=US_NC,school_closing=1]",1.0
2021-04-26,"[location_key=US_NC,school_closing=1]",1.0
2021-04-26,"[location_key=US_NC,school_closing=1]",1.0
2021-04-26,"[location_key=US_NC,school_closing=1]",1.0
2021-04-26,"[location_key=US_NC,school_closing=1]",1.0
2021-04-26,"[location_key=US_NC,school_closing=1]",1.0
2021-04-26,"[location_key=US_NC,school_closing=1]",1.0
2021-04-26,[location_key=US_NC],1.0
2021-04-26,[location_key=US_NC],1.0
2021-04-26,[location_key=US_NC],1.0
2021-04-26,[location_key=US_NC],1.0
2021-04-26,[location_key=US_NC],1.0
2021-04-26,[location_key=US_NC],1.0
2021-04-26,[location_key=US_NC],1.0
2021-04-26,"[location_key=US_ND,school_closing=1]",1.0
2021-04-26,"[location_key=US_ND,school_closing=1]",1.0
2021-04-26,"[location_key=US_ND,school_closing=1]",1.0
2021-04-26,"[location_key=US_ND,school_closing=1]",1.0
2021-04-26,"[location_key=US_ND,school_closing=1]",1.0
2021-04-26,"[location_key=US_ND,school_closing=1]",1.0
2021-04-26,"[location_key=US_ND,school_closing=1]",1.0
2021-04-26,[location_key=US_ND],1.0
2021-04-26,[location_key=US_ND],1.0
2021-04-26,[location_key=US_ND],1.0
2021-04-26,[location_key=US_ND],1.0
2021-04-26,[location_key=US_ND],1.0
2021-04-26,[location_key=US_ND],1.0
2021-04-26,[location_key=US_ND],1.0
2021-04-26,"[location_key=US_NE,school_closing=0]",2.0
2021-04-26,"[location_key=US_NE,school_closing=0]",2.0
2021-04-26,"[location_key=US_NE,school_closing=0]",2.0
2021-04-26,"[location_key=US_NE,school_closing=0]",2.0
2021-04-26,"[location_key=US_NE,school_closing=0]",2.0
2021-04-26,"[location_key=US_NE,school_closing=0]",2.0
2021-04-26,"[location_key=US_NE,school_closing=0]",2.0
2021-04-26,[location_key=US_NE],2.0
2021-04-26,[location_key=US_NE],2.0
2021-04-26,[location_key=US_NE],2.0
2021-04-26,[location_key=US_NE],2.0
2021-04-26,[location_key=US_NE],2.0
2021-04-26,[location_key=US_NE],2.0
2021-04-26,[location_key=US_NE],2.0
2021-04-26,"[location_key=US_NH,school_closing=1]",1.0
2021-04-26,"[location_key=US_NH,school_closing=1]",1.0
2021-04-26,"[location_key=US_NH,school_closing=1]",1.0
2021-04-26,"[location_key=US_NH,school_closing=1]",1.0
2021-04-26,"[location_key=US_NH,school_closing=1]",1.0
2021-04-26,"[location_key=US_NH,school_closing=1]",1.0
2021-04-26,"[location_key=US_NH,school_closing=1]",1.0
2021-04-26,[location_key=US_NH],1.0
2021-04-26,[location_key=US_NH],1.0
2021-04-26,[location_key=US_NH],1.0
2021-04-26,[location_key=US_NH],1.0
2021-04-26,[location_key=US_NH],1.0
2021-04-26,[location_key=US_NH],1.0
2021-04-26,[location_key=US_NH],1.0
2021-04-26,"[location_key=US_NJ,school_closing=2]",1.0
2021-04-26,"[location_key=US_NJ,school_closing=2]",1.0
2021-04-26,"[location_key=US_NJ,school_closing=2]",1.0
2021-04-26,"[location_key=US_NJ,school_closing=2]",1.0
2021-04-26,"[location_key=US_NJ,school_closing=2]",1.0
2021-04-26,"[location_key=US_NJ,school_closing=2]",1.0
2021-04-26,"[location_key=US_NJ,school_closing=2]",1.0
2021-04-26,[location_key=US_NJ],1.0
2021-04-26,[location_key=US_NJ],1.0
2021-04-26,[location_key=US_NJ],1.0
2021-04-26,[location_key=US_NJ],1.0
2021-04-26,[location_key=US_NJ],1.0
2021-04-26,[location_key=US_NJ],1.0
2021-04-26,[location_key=US_NJ],1.0
2021-04-26,"[location_key=US_NM,school_closing=1]",1.0
2021-04-26,"[location_key=US_NM,school_closing=1]",1.0
2021-04-26,"[location_key=US_NM,school_closing=1]",1.0
2021-04-26,"[location_key=US_NM,school_closing=1]",1.0
2021-04-26,"[location_key=US_NM,school_closing=1]",1.0
2021-04-26,"[location_key=US_NM,school_closing=1]",1.0
2021-04-26,"[location_key=US_NM,school_closing=1]",1.0
2021-04-26,[location_key=US_NM],1.0
2021-04-26,[location_key=US_NM],1.0
2021-04-26,[location_key=US_NM],1.0
2021-04-26,[location_key=US_NM],1.0
2021-04-26,[location_key=US_NM],1.0
2021-04-26,[location_key=US_NM],1.0
2021-04-26,[location_key=US_NM],1.0
2021-04-26,"[location_key=US_NV,school_closing=1]",1.0
2021-04-26,"[location_key=US_NV,school_closing=1]",1.0
2021-04-26,"[location_key=US_NV,school_closing=1]",1.0
2021-04-26,"[location_key=US_NV,school_closing=1]",1.0
2021-04-26,"[location_key=US_NV,school_closing=1]",1.0
2021-04-26,"[location_key=US_NV,school_closing=1]",1.0
2021-04-26,"[location_key=US_NV,school_closing=1]",1.0
2021-04-26,[location_key=US_NV],1.0
2021-04-26,[location_key=US_NV],1.0
2021-04-26,[location_key=US_NV],1.0
2021-04-26,[location_key=US_NV],1.0
2021-04-26,[location_key=US_NV],1.0
2021-04-26,[location_key=US_NV],1.0
2021-04-26,[location_key=US_NV],1.0
2021-04-26,"[location_key=US_NY,school_closing=2]",2.0
2021-04-26,"[location_key=US_NY,school_closing=2]",2.0
2021-04-26,"[location_key=US_NY,school_closing=2]",2.0
2021-04-26,"[location_key=US_NY,school_closing=2]",2.0
2021-04-26,"[location_key=US_NY,school_closing=2]",2.0
2021-04-26,"[location_key=US_NY,school_closing=2]",2.0
2021-04-26,"[location_key=US_NY,school_closing=2]",2.0
2021-04-26,[location_key=US_NY],2.0
2021-04-26,[location_key=US_NY],2.0
2021-04-26,[location_key=US_NY],2.0
2021-04-26,[location_key=US_NY],2.0
2021-04-26,[location_key=US_NY],2.0
2021-04-26,[location_key=US_NY],2.0
2021-04-26,[location_key=US_NY],2.0
2021-04-26,"[location_key=US_OH,school_closing=2]",1.0
2021-04-26,"[location_key=US_OH,school_closing=2]",1.0
2021-04-26,"[location_key=US_OH,school_closing=2]",1.0
2021-04-26,"[location_key=US_OH,school_closing=2]",1.0
2021-04-26,"[location_key=US_OH,school_closing=2]",1.0
2021-04-26,"[location_key=US_OH,school_closing=2]",1.0
2021-04-26,"[location_key=US_OH,school_closing=2]",1.0
2021-04-26,[location_key=US_OH],1.0
2021-04-26,[location_key=US_OH],1.0
2021-04-26,[location_key=US_OH],1.0
